,track_uri,title_track,artist	
315,63CHa6rmamv9OsehkRD8oz,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins	
316,0pQskrTITgmCMyr85tb9qq,Starman - 2012 Remaster,David Bowie	
317,1QFw2xxyQtgKjlrMCEqsNj,Papaoutai,Stromae	
318,4WCySsw36GzONhLAaBtn2g,Zing - Vecht - Huil - Bid - Lach - Werk En Bewonder,Ramses Shaffy	
319,2tfF0ihNIYnh64wJoLhtZZ,Worn Down Piano,The Mark & Clark Band	
320,454I78HEySdcHE8fcVabTb,Amsterdam,Nothing But Thieves	
321,7nEqawimQNzxj4soQepy2I,Groot Hart,De Dijk	
322,1lqMLr9Wj7SM2F9AikGcxN,Hurricane,Bob Dylan	
323,1Q1b8eVkUPGlpSArl8JAVw,Heart of Gold - 2009 Remaster,Neil Young	
324,2u2udGmop1z67EPpr91km7,Man in the Mirror,Michael Jackson	
325,6kIwzLSiQU51taaaZ9zWSE,Mama - 2007 Remaster,Genesis	
326,6W26h4KbGUnEaav5VWIyJm,The Day Before You Came,ABBA	
327,0wNgjrYxFhegQrMpTo2J9v,Op Fietse,Skik	
328,3spdoTYpuCpmq19tuD0bOe,My Way,Frank Sinatra	
329,2SzCxX6M6vDwdEwnHDiTaY,Jesus to a Child,George Michael	
